player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.3248, 'mob': 0.9051, 'stable': 0.6112, 'parity': 0.3061, 'pos': 0.531}, 'medio': {'corner': 0.4489, 'mob': 0.2673, 'stable': 0.3771, 'parity': 0.5614, 'pos': 0.3155}, 'final': {'corner': 0.4515, 'mob': 0.8617, 'stable': 0.3946, 'parity': 0.91, 'pos': 0.3436}}",minimax,"{'apertura': {'corner': 0.3248, 'mob': 0.9051, 'stable': 0.6112, 'parity': 0.3061, 'pos': 0.531}, 'medio': {'corner': 0.4489, 'mob': 0.2673, 'stable': 0.3771, 'parity': 0.5614, 'pos': 0.3155}, 'final': {'corner': 0.4515, 'mob': 0.8617, 'stable': 0.3946, 'parity': 0.91, 'pos': 0.3436}}",33,63,59
"{'apertura': {'corner': 0.2389, 'mob': 0.7119, 'stable': 0.2218, 'parity': 0.4339, 'pos': 0.422}, 'medio': {'corner': 0.7299, 'mob': 0.6964, 'stable': 0.4239, 'parity': 0.4864, 'pos': 0.3715}, 'final': {'corner': 0.4815, 'mob': 0.0134, 'stable': 0.6021, 'parity': 0.118, 'pos': 0.4884}}",minimax,"{'apertura': {'corner': 0.2389, 'mob': 0.7119, 'stable': 0.2218, 'parity': 0.4339, 'pos': 0.422}, 'medio': {'corner': 0.7299, 'mob': 0.6964, 'stable': 0.4239, 'parity': 0.4864, 'pos': 0.3715}, 'final': {'corner': 0.4815, 'mob': 0.0134, 'stable': 0.6021, 'parity': 0.118, 'pos': 0.4884}}",40,64,61
"{'apertura': {'corner': 0.6838, 'mob': 0.9386, 'stable': 0.6551, 'parity': 0.452, 'pos': 0.8634}, 'medio': {'corner': 0.3204, 'mob': 0.4126, 'stable': 0.6409, 'parity': 0.4267, 'pos': 0.0046}, 'final': {'corner': 0.5489, 'mob': 0.1931, 'stable': 0.578, 'parity': 0.0888, 'pos': 0.4755}}",minimax,"{'apertura': {'corner': 0.6838, 'mob': 0.9386, 'stable': 0.6551, 'parity': 0.452, 'pos': 0.8634}, 'medio': {'corner': 0.3204, 'mob': 0.4126, 'stable': 0.6409, 'parity': 0.4267, 'pos': 0.0046}, 'final': {'corner': 0.5489, 'mob': 0.1931, 'stable': 0.578, 'parity': 0.0888, 'pos': 0.4755}}",45,64,60
"{'apertura': {'corner': 0.8369, 'mob': 0.2141, 'stable': 0.4918, 'parity': 0.0522, 'pos': 0.5375}, 'medio': {'corner': 0.7466, 'mob': 0.4789, 'stable': 0.0489, 'parity': 0.0527, 'pos': 0.9295}, 'final': {'corner': 0.7616, 'mob': 0.023, 'stable': 0.1983, 'parity': 0.7184, 'pos': 0.4073}}",minimax,"{'apertura': {'corner': 0.8369, 'mob': 0.2141, 'stable': 0.4918, 'parity': 0.0522, 'pos': 0.5375}, 'medio': {'corner': 0.7466, 'mob': 0.4789, 'stable': 0.0489, 'parity': 0.0527, 'pos': 0.9295}, 'final': {'corner': 0.7616, 'mob': 0.023, 'stable': 0.1983, 'parity': 0.7184, 'pos': 0.4073}}",34,63,61
"{'apertura': {'corner': 0.8402, 'mob': 0.4967, 'stable': 0.3725, 'parity': 0.1003, 'pos': 0.0192}, 'medio': {'corner': 0.9306, 'mob': 0.0155, 'stable': 0.6674, 'parity': 0.0612, 'pos': 0.8442}, 'final': {'corner': 0.5368, 'mob': 0.9091, 'stable': 0.8721, 'parity': 0.0829, 'pos': 0.7052}}",minimax,minimax,41,64,60
"{'apertura': {'corner': 0.2953, 'mob': 0.8869, 'stable': 0.7674, 'parity': 0.29, 'pos': 0.7727}, 'medio': {'corner': 0.4187, 'mob': 0.5084, 'stable': 0.7761, 'parity': 0.9357, 'pos': 0.1834}, 'final': {'corner': 0.5654, 'mob': 0.3533, 'stable': 0.469, 'parity': 0.5745, 'pos': 0.5671}}",minimax,minimax,42,64,61
"{'apertura': {'corner': 0.746, 'mob': 0.1386, 'stable': 0.4777, 'parity': 0.1515, 'pos': 0.7372}, 'medio': {'corner': 0.746, 'mob': 0.4103, 'stable': 0.4126, 'parity': 0.2018, 'pos': 0.9565}, 'final': {'corner': 0.5432, 'mob': 0.1387, 'stable': 0.1076, 'parity': 0.418, 'pos': 0.4898}}",minimax,minimax,47,61,63
"{'apertura': {'corner': 0.3382, 'mob': 0.7702339810536155, 'stable': 0.4031, 'parity': 0.3134, 'pos': 0.507}, 'medio': {'corner': 0.4942, 'mob': 0.5875, 'stable': 0.5426, 'parity': 0.6127, 'pos': 0.2916}, 'final': {'corner': 0.4737, 'mob': 0.2323, 'stable': 0.4565, 'parity': 0.375, 'pos': 0.4793}}",minimax,minimax,49,62,60
"{'apertura': {'corner': 0.655, 'mob': 0.0631, 'stable': 0.4635, 'parity': 0.2507, 'pos': 0.937}, 'medio': {'corner': 0.7454, 'mob': 0.3417, 'stable': 0.7764, 'parity': 0.351, 'pos': 0.9835}, 'final': {'corner': 0.3247, 'mob': 0.2543, 'stable': 0.0169, 'parity': 0.1175, 'pos': 0.5722}}",minimax,minimax,41,64,60
"{'apertura': {'corner': 0.1903, 'mob': 0.2609, 'stable': 0.2503, 'parity': 0.1235, 'pos': 0.2426}, 'medio': {'corner': 0.7086, 'mob': 0.2335, 'stable': 0.1148, 'parity': 0.7523, 'pos': 0.2115}, 'final': {'corner': 0.7755, 'mob': 0.6941, 'stable': 0.5576, 'parity': 0.0319, 'pos': 0.1839}}",minimax,minimax,43,64,61
"{'apertura': {'corner': 0.469413069770669, 'mob': 0.5806, 'stable': 0.5381, 'parity': 0.1225, 'pos': 0.5647}, 'medio': {'corner': 0.5026, 'mob': 0.4787, 'stable': 0.3551, 'parity': 0.3958, 'pos': 0.5706}, 'final': {'corner': 0.6137, 'mob': 0.2371, 'stable': 0.2546, 'parity': 0.6753, 'pos': 0.4387}}",minimax,minimax,54,64,60
"{'apertura': {'corner': 0.4998, 'mob': 0.4772, 'stable': 0.2189, 'parity': 0.0784, 'pos': 0.4667}, 'medio': {'corner': 0.5833, 'mob': 0.2495, 'stable': 0.2596, 'parity': 0.3031, 'pos': 0.5942}, 'final': {'corner': 0.7022, 'mob': 0.7676, 'stable': 0.7286, 'parity': 0.1184, 'pos': 0.564}}",minimax,minimax,40,64,61
"{'apertura': {'corner': 0.5152, 'mob': 0.3788, 'stable': 0.3114, 'parity': 0.1119, 'pos': 0.1309}, 'medio': {'corner': 0.8196, 'mob': 0.2443351762523135, 'stable': 0.3911, 'parity': 0.4068, 'pos': 0.5278}, 'final': {'corner': 0.6562, 'mob': 0.8016, 'stable': 0.7148, 'parity': 0.0574, 'pos': 0.4446}}",minimax,minimax,52,64,60
"{'apertura': {'corner': 0.5152, 'mob': 0.3788, 'stable': 0.3114, 'parity': 0.1119, 'pos': 0.1309}, 'medio': {'corner': 0.8196, 'mob': 0.1245, 'stable': 0.3911, 'parity': 0.4068, 'pos': 0.5278}, 'final': {'corner': 0.6562, 'mob': 0.8016, 'stable': 0.7148, 'parity': 0.0574, 'pos': 0.4446}}",minimax,minimax,47,64,61
"{'apertura': {'corner': 0.3402, 'mob': 0.3199, 'stable': 0.2809, 'parity': 0.1177, 'pos': 0.1867}, 'medio': {'corner': 0.7641, 'mob': 0.179, 'stable': 0.253, 'parity': 0.5796, 'pos': 0.3697}, 'final': {'corner': 0.7158, 'mob': 0.7479, 'stable': 0.6362, 'parity': 0.0446, 'pos': 0.3143}}",minimax,minimax,39,64,61
"{'apertura': {'corner': 0.551, 'mob': 0.9206, 'stable': 0.5031, 'parity': 0.4737602269145585, 'pos': 0.7377}, 'medio': {'corner': 0.3665, 'mob': 0.5526, 'stable': 0.7148, 'parity': 0.5266, 'pos': 0.1486}, 'final': {'corner': 0.4763, 'mob': 0.1104, 'stable': 0.4584, 'parity': 0.1888, 'pos': 0.4433}}",minimax,minimax,49,64,63
"{'apertura': {'corner': 0.3485, 'mob': 0.1274, 'stable': 0.2848, 'parity': 0.5965, 'pos': 0.619}, 'medio': {'corner': 0.5191, 'mob': 0.9982, 'stable': 0.5782, 'parity': 0.9242, 'pos': 0.3483}, 'final': {'corner': 0.4291, 'mob': 0.3184, 'stable': 0.8719, 'parity': 0.4287, 'pos': 0.3247}}",minimax,minimax,52,54,60
"{'apertura': {'corner': 0.8369, 'mob': 0.9106, 'stable': 0.2314, 'parity': 0.5099, 'pos': 0.6269}, 'medio': {'corner': 0.2705, 'mob': 0.068, 'stable': 0.4138, 'parity': 0.2697, 'pos': 0.952}, 'final': {'corner': 0.4421, 'mob': 0.2499, 'stable': 0.9639, 'parity': 0.8644, 'pos': 0.5978}}",minimax,minimax,33,63,67
"{'apertura': {'corner': 0.2498, 'mob': 0.5039, 'stable': 0.6086, 'parity': 0.9512, 'pos': 0.0216}, 'medio': {'corner': 0.2351, 'mob': 0.9158, 'stable': 0.565, 'parity': 0.7063, 'pos': 0.9886}, 'final': {'corner': 0.1877, 'mob': 0.8272, 'stable': 0.9242, 'parity': 0.7531, 'pos': 0.1087}}",minimax,minimax,53,64,60
